humid,temp,press,gas,tvoc,altitude,eCO2,H2,quality
59.29,27.84,1010.71,59.911,21.19,21.19,21.19,21.19,good
59.31,27.84,1010.71,59.869,21.18,21.18,21.18,21.18,good
59.35,27.83,1010.7,60.122,21.24,21.24,21.24,21.24,good
59.34,27.82,1010.7,59.827,21.26,21.26,21.26,21.26,good
59.32,27.82,1010.7,59.869,21.28,21.28,21.28,21.28,good
59.44,27.81,1010.69,59.995,21.31,21.31,21.31,21.31,good
59.47,27.81,1010.69,60.505,21.36,21.36,21.36,21.36,good
59.41,27.8,1010.69,60.377,21.32,21.32,21.32,21.32,good
59.43,27.79,1010.69,59.995,21.36,21.36,21.36,21.36,good
59.42,27.79,1010.69,59.659,21.35,21.35,21.35,21.35,good
59.49,27.78,1010.69,59.369,21.35,21.35,21.35,21.35,good
59.56,27.78,1010.68,59.451,21.39,21.39,21.39,21.39,good
59.51,27.77,1010.68,59.451,21.42,21.42,21.42,21.42,good
59.51,27.77,1010.68,59.493,21.46,21.46,21.46,21.46,good
59.45,27.77,1010.68,59.245,21.46,21.46,21.46,21.46,good
59.42,27.76,1010.68,59.911,21.44,21.44,21.44,21.44,good
59.42,27.76,1010.68,59.659,21.46,21.46,21.46,21.46,good
59.45,27.75,1010.67,60.079,21.5,21.5,21.5,21.5,good
59.48,27.75,1010.67,60.037,21.51,21.51,21.51,21.51,good
59.5,27.74,1010.67,59.41,21.53,21.53,21.53,21.53,good
59.54,27.74,1010.67,59.327,21.54,21.54,21.54,21.54,good
59.57,27.73,1010.66,59.785,21.57,21.57,21.57,21.57,good
59.64,27.73,1010.65,59.286,21.63,21.63,21.63,21.63,good
59.56,27.73,1010.65,59.743,21.63,21.63,21.63,21.63,good
59.53,27.73,1010.66,59.659,21.61,21.61,21.61,21.61,good
59.51,27.72,1010.65,59.369,21.65,21.65,21.65,21.65,good
59.49,27.72,1010.66,59.659,21.6,21.6,21.6,21.6,good
59.44,27.72,1010.66,59.785,21.62,21.62,21.62,21.62,good
59.42,27.71,1010.65,59.995,21.69,21.69,21.69,21.69,good
59.51,27.71,1010.64,59.659,21.75,21.75,21.75,21.75,good
59.56,27.71,1010.64,59.618,21.75,21.75,21.75,21.75,good
59.58,27.7,1010.64,59.785,21.76,21.76,21.76,21.76,good
59.58,27.7,1010.63,59.659,21.81,21.81,21.81,21.81,good
59.54,27.7,1010.63,59.995,21.87,21.87,21.87,21.87,good
59.58,27.7,1010.62,59.451,21.93,21.93,21.93,21.93,good
59.53,27.69,1010.62,59.869,21.95,21.95,21.95,21.95,good
59.53,27.69,1010.62,60.079,21.95,21.95,21.95,21.95,good
59.48,27.68,1010.61,59.369,21.98,21.98,21.98,21.98,good
59.51,27.68,1010.61,59.576,22,22,22,22,good
59.54,27.68,1010.61,59.618,22.03,22.03,22.03,22.03,good
59.55,27.67,1010.6,59.493,22.05,22.05,22.05,22.05,good
59.51,27.67,1010.6,59.827,22.06,22.06,22.06,22.06,good
